whereas,"while, but"
antiphospholipid antibody test,a test to see if you’re at risk for blood clots
antiviral,"medicine, drug that fights viruses"
anti-virus medicine,"medicine, drug that fight viruses like the flu"
anxiety,"fear, worry"
appellant,"name, name of the person, you, person making an appeal"
applicant,"your name, name of the person, person who is applying"
apply,"use, put on, rub onto, sign up for"
appreciate,"thank, be grateful"
appropriate,"take, take over, a good fit, proper, right"
approximate,"about, guess, around, near, close"
aptitude,"ability, skill, gift, talent"
arguably,"maybe, perhaps, possibly, could be"
arthralgia,"pain, pain in your joints"
arthritis,"pain in joints"
ascertain,"find, find out, learn, make certain"
asphyxiate,"choke, smother, suffocate"
assess,"review, sum up, evaluate, to determine value"
assist,"help, aid"
association,"group, relation, organization"
alleviate,"lessen, ease, soften, improve, make better"
alopecia,"hair loss, balding"
alteration,"change, shift, adjustment"
alternate,"take turns, one and then the other, rotate"
alternative,"option, another choice, other, different way, another option, different"
alveoli,tiny air sacs in the lungs
amalgamate,"put together, join, combine, unite"
ambulate,"walk, move around"
ambulatory,"can walk, mobile, able to move about, walking"
ameliorate,"make better, improve, lessen, ease"
amend,"change, change later on, adjust"
amnesia,"forgetfulness, memory loss, not being able to remember"
anaerobic exercise,"exercise, fast-burst exercise, muscle-building exercise like weight lifting"
anaerobic,needs lack of oxygen
anaphylaxis,"shock, a sudden and severe allergic reaction, stop breathing, poisoning"
anemia,"tired, low iron, a low blood count that can make you tired and short of breath"
annual,"yearly, every year, once every year, once a year, each year"
annually,"yearly, every year, once every year, once a year, each year"
antibiotic,"drug, medicine, drug that fights bacteria, infection-fighting medicine, medicine that fights infection"
antibody,"your body’s way to fight off infections, infection-"
adjuvant,something added to a vaccine to make it work better
administer,"give, manage, take care of"
adverse event,"something bad that happens, bad reaction"
adverse health effect,"bad side effect, bad reaction"
adverse,"bad, dangerous, hurtful, harmful"
advise,"tell, warn, say"
advocacy,"support, fighting on behalf of, arguing for support"
advocate,"fight for, support, support person"
aerobic exercise,"exercise; slow and steady exercise like walking, running, biking, swimming, etc.; exercise that helps your heart stay healthy and work better; exercise that gets your heart pumping; exercise that makes you breath faster"
aerobic,needs oxygen
aerosol,"spray, mist"
aggravate,"make worse, harm, anger, hurt"
aggregate,"taken together, looked at all together, total, sum, combined"
aggressive,"pushy, dangerous, gets worse fast"
airways,"windpipe, breathing, tubes that take air in from the nose and mouth to the lungs, pathway from nose and mouth to lungs"
alienate,"push away, put by itself, turn away from, set apart"
allergen,"something like pollen that causes the body to react by sneezing or forming a rash"
allergic,"the body’s reaction to something, like pollen, resulting in sneezing, sniffling, a rash, etc."
allergist,doctor who treats allergies
allergy,"reaction to certain things such as food or cloth or pollen, itch, rash, hives, breathing problem"
active immunity,"being able to fight off a specific disease once you have had that disease"
acute,"sudden start, short term, quick"
additional,"extra, added, more"
adequate,"enough, the right amount"
adhere,"stick, follow"
adjacent,"beside, next to, near, touching"
abdomen,"stomach, stomach area, belly, tummy"
ability,skill
abolish,"end, do away with, get rid of"
abrasion,"cut, scratch, scrape"
absenteeism,missing work or school
absorption,"take in, soak up"
accelerate,"hurry, speed up, make worse, make more severe"
accessible,"available, on hand, understandable, usable (handicapped)"
accommodate,"house, let stay with, give shelter, adjust, adapt"
accompany,"go with, take with (medicine)"
accomplish,"do, finish"
accumulate,"add up, gather, collect"
accurate,"true, right, correct"
acellular vaccine,a vaccine that only contains part of the virus
